feature_set,algorithm,rmse,folds

basic-no-stats,ConstantPredictor_Mean,1.1256854432607069,[1.1223648388141219 1.1233405630640247 1.1259988194515347 1.1260500000693798 1.130672994904473]

basic-no-stats,SciKit_LinearRegressor,1.0650201827868684,[1.0609060767386096 1.0617151518321648 1.0684379655883915 1.0685656184357142 1.0654761013394607]
basic-with-stats,SciKit_LinearRegressor,0.9558991270755313,[0.9521512604395495 0.957471602562927 0.9611391128007845 0.9541803597174943 0.9545532998569011]
feature-expansion-no-stats,SciKit_LinearRegressor,1.0614743637357766,[1.0564276577090441 1.061551522544763 1.0635011386619182 1.0630895137310497 1.0628019860321074]
feature-expansion-with-stats,SciKit_LinearRegressor,0.9539741594102346,[0.9495765471147292 0.9541821054416962 0.9580312436133637 0.9534726124973659 0.9546082883840182]
stripped-no-stats,SciKit_LinearRegressor,1.1053525004934208,[1.103566290290526 1.1038341229131405 1.1053331929038364 1.105179757964948 1.1088491383946528]
stripped-with-stats,SciKit_LinearRegressor,0.956994085870976,[0.9527243263357724 0.9580875285233764 0.96284212610806 0.9553746482472794 0.9559418001403921]

stripped-no-stats,SciKit_KNeighborsRegressor,1.0779785249886853,[1.0763217223169905 1.0770669031469657 1.0769674948255572 1.0796854060936858 1.0798510985602268]
stripped-with-stats,SciKit_KNeighborsRegressor,0.9592114385877041,[0.9527746479166054 0.9601368403103382 0.9657673977192002 0.9571001143919905 0.960278192600386]
basic-no-stats,SciKit_KNeighborsRegressor,1.0314518566276418,[1.029919361437795 1.028580626926045 1.0346805107592212 1.0370480568061016 1.0270307272090458]
basic-with-stats,SciKit_KNeighborsRegressor,0.9592187567192161,[0.9527705193935756 0.9601698752289508 0.965794217326141 0.9570786897461628 0.9602804819012501]
feature-expansion-no-stats,SciKit_KNeighborsRegressor,1.0317239749686273,[1.0272974792173415 1.0329088402992541 1.0331727327232454 1.0315263475558878 1.0337144750474083]
feature-expansion-with-stats,SciKit_KNeighborsRegressor,0.9575865441638015,[0.9521868297645149 0.9593761910993057 0.9640316983436695 0.9531136798836976 0.95922432172782]

stripped-with-stats,SciKit_RandomForestRegressor,0.9475168982532749,[0.9421883735955346 0.9504259635944806 0.9521408329075356 0.9458476394845874 0.946981681684236]
basic-with-stats,SciKit_RandomForestRegressor,0.9357748979868763,[0.9313412547334623 0.938599292993377 0.9408832605848322 0.9335391653663586 0.9345115162563515]
feature-expansion-with-stats,SciKit_RandomForestRegressor,0.9341896075932918,[0.9320386570114018 0.9367113137173876 0.9363384895256016 0.9311411214638051 0.934718456248263]
basic-no-stats,SciKit_RandomForestRegressor,0.9751349258978113,[0.9723275982876568 0.9754366776151316 0.9775550863312665 0.9780795803090934 0.9722756869459077]
stripped-no-stats,SciKit_RandomForestRegressor,1.0385765988811773,[1.034168645014847 1.0414898385111762 1.0380519317981445 1.0420968819841943 1.0370756970975248]
feature-expansion-no-stats,SciKit_RandomForestRegressor,0.961500359695461,[0.9520776833204218 0.9645617281255339 0.9658250261348288 0.9605960195842915 0.9644413413122289]

